Ville,Titre,Lien,Description,Prix_de_vente,Localisation,Prix_m2,Surface_m2,type,Pieces,Chambres,Garage,Balcon,Ascenseur,Terrain_m2,DPE
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1287044560A1KIVHPK000,"Bonjour, nous vendons une place de parking privé à proximité directe de la place de la république : entrée : 50 rue de malte 75011 paris 11eme arrondissement sortie : boulevard jules ferry 4eme sous-sol. ascenseur et escaliers. la place...",25000.0,Paris 11  (75011),2083.0,12.0,Parking / Garage,,,0,0,0,,
paris-75,Appartement - 1 pièce(s) - 22 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287043500A1KIVHAP000,Ideal investisseurs studio meublé de 15m² + cave de 7m² entre paris et villejuif :) il est situé au pied du métro ligne 7 grâce auquel vous atteindrez le centre-ville de paris en quelques minute. commerce à proximité. idéal pour une...,149000.0,Paris 13  (75013),6773.0,22.0,Appartement,1,1,0,0,0,,C
paris-75,Appartement - 4 pièce(s) - 93 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287040217A1KIVHAP000,"Beau duplex ancien au calme et lumineux bel appartement ancien, aux 4ème et 5ème (dernier) étages d'une petite copropriété calme et bien gérée (pas d'ascenseur), qui vient d'être ravalée. rue louis braille, à proximité des métros michel...",790000.0,Paris 12  (75012),8495.0,93.0,Appartement,4,3,0,0,0,,D
paris-75,Appartement - 5 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1287022067A1KIVHAP000,"? direct propriétaire ? visites tous les jours jusqu'à 17 h 30 ? paris 9e haussmann / trinité, martyrs appartement 4-5 pièces, 2-3 chambres dans un immeuble ancien récemment ravalé avec ascenseur et gardien, superbe appartement...",1150000.0,Paris 8  (75008),11735.0,98.0,Appartement,5,,0,0,0,,D
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1287022813A1KIVHPK000,"Vend parking proche rue lappes,5 eme sous sol,bonnes dimensions, sécurisé wi176508954 vente immobilier parking / garage paris 11 parking / garage 12 m²",18600.0,Paris 11  (75011),1550.0,12.0,Parking / Garage,,,0,0,0,,
paris-75,Appartement - 1 pièce(s) - 26 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286977640A1KIVHAP000,"Studio de 26 m2 (loi carrez) au 4ème et dernier étage d'un immeuble ?pierre de paris' entièrement refait dans quartier très prisé proche parc monceau, place des ternes et marché poncelet. tous services et commodités. calme et très lumineux...",320000.0,Paris 17  (75017),12308.0,26.0,Appartement,1,,0,0,0,,E
paris-75,Appartement - 2 pièce(s) - 32 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286977366A1KIVHAP000,"(chasseur / intermédiaire / agent immobilier s'abstenir, nous sommes du métier) vente d'un appartement de 32m², situé au 3? étage d'un immeuble bien entretenu et sécurisé avec ascenseur. ce charmant appartement offre un cadre de vie paisible et...",312000.0,Paris 15  (75015),9750.0,32.0,Appartement,2,1,0,0,0,,D
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286969803A1KIVHPK000,Je vends mon emplacement de parking du 65 rue de l'aqueduc. accès par télécommande + clé il est à une minute à pied de la station de métro stalingrad. facile d'accès et idéalement situé au 2e sous-sol d'une petite copropriété. il est à...,21000.0,Paris 10  (75010),1750.0,12.0,Parking / Garage,,,0,0,0,,
paris-75,Appartement - 2 pièce(s) - 56 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286958917A1KIVHAP000,"Ce beau duplex, idéalement situé dans le quartier st paul, est au rdc/1er étage d'une très belle copropriété. il se compose d'une grande pièce de vie de 22m2 avec ces deux grandes fenêtres, une cuisine indépendante équipée. à l'étage, un coin...",647000.0,Paris 4  (75004),11554.0,56.0,Appartement,2,,0,0,0,,
paris-75,Appartement - 4 pièce(s) - 96 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286955045A1KIVHAP000,"Paris 8ème ? parc monceau appartement d'architecte type 4 pièces de 95,24 m² carrez (96,70 m² au sol) avec balcon et cave voûtée. surface pondérée : environ 101 m². au 2ème étage avec ascenseur d'un immeuble haussmannien en pierre de...",1650000.0,Paris 8  (75008),17188.0,96.0,Appartement,4,3,0,1,0,,D
paris-75,Duplex/triplex - 2 pièce(s) - 28 m²,https://www.paruvendu.fr/immobilier/vente/duplex-triplex/1286669676A1KIVHDU000,"À deux pas de la place de la bastille, découvrez ce bel appartement en duplex plein sud de 28 m², baigné de lumière tout au long de la journée et offrant une vue dégagée sur l'angelot de la colonne de juillet. situé dans une résidence sécurisée...",329000.0,Paris 11  (75011),11750.0,28.0,Duplex/triplex,2,1,0,0,1,,D
paris-75,Maison - 5 pièce(s) - 352 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286611288A1KIVHMN000,"Maison individuelle t3 avec annexe t1 à alcanena vidéo propriété polyvalente située dans une zone calme d'alcanena, alliant espace, fonctionnalité et potentiel de revenu composition du bien : habitation principale (Étage supérieur) :...",319000.0,Paris 3  (75003),906.0,352.0,Maison,5,3,0,0,0,1.0,F
paris-75,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286938440A1KIVHAP000,"Exceptionnel appartement de 4 pièces ? 98 m² ? immeuble de standing ? plein sud ? secteur roland-garros / hippodrome d'auteuil dans un immeuble de grand standing, idéalement situé à deux pas de roland-garros et face à l'hippodrome d'auteuil,...",1020000.0,Paris 16  (75016),10408.0,98.0,Appartement,4,2,1,0,0,,F
paris-75,Duplex/triplex - 3/4 pièce(s) - 142 m²,https://www.paruvendu.fr/immobilier/vente/duplex-triplex/1286725860A1KIVHDU000,"Dans un quartier paisible et verdoyant, à proximité des commerces et des écoles, à quelques minutes du centre de canastel oran , la résidence le belvédère offre un emplacement idéal. profitez de l'intimité de cette résidence, avec un appartement...",100000.0,Paris 17  (75017),704.0,142.0,Duplex/triplex,4,3,1,1,0,,
paris-75,Parking / Garage - 11 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286931780A1KIVHPK000,"À vendre une place de parking en sous-sol située dans un immeuble moderne de la rue du père corentin, dans le 14? arrondissement de paris. l'accès est très simple et pratique et la place mesure 2,30 m de large sur 5 m de long. de 2,30 mètres de...",33000.0,Paris 14  (75014),3000.0,11.0,Parking / Garage,,,0,0,0,,
paris-75,Appartement - 3 pièce(s) - 70 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286915054A1KIVHAP000,"À proximité du village d'auteuil, au 5e étage d'un immeuble moderne, appartement de 70 m2 avec vue dégagée il comprend : une entrée, un séjour de de 27 m2, une cuisine séparée, deux chambres, une salle de bains et des toilettes séparées. vendu...",719000.0,Paris 16  (75016),10271.0,70.0,Appartement,3,2,0,0,0,,D
paris-75,Appartement - 1 pièce(s) - 19 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286914200A1KIVHAP000,"Tout équipé (frigo, plaques électriques, micro-onde, machine à laver, porte blindée), meublé, chauffage central, internet haut débit fibre gardienne, 3 ascenseurs, 2 entrées (181 et 183 avenue victor hugo) proche écoles (université dauphine,...",270000.0,Paris 16  (75016),14211.0,19.0,Appartement,1,1,0,0,0,,E
paris-75,Appartement - 2 pièce(s) - 40 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286909964A1KIVHAP000,"Quand on entend parler de dubaï, on pense souvent au luxe et aux images médiatiques. pourtant, le marché immobilier est très structuré, sérieux et accessible, avec des protections concrètes pour les investisseurs. par exemple : 1?? le bien...",1000.0,Paris 2  (75002),25.0,40.0,Appartement,2,,0,0,0,,
paris-75,Appartement - 3 pièce(s) - 49 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286887252A1KIVHAP000,"Bel appartement à vendre, 3 pièces bien agencé, sans perte d'espace- 49m2- au 1er étage, il se compose d'1 entrée, d'1 salle à manger, de 2 chambres, d'1 salle de bain, d'1 cuisine, et d'1 wc séparé. une cave s'ajaoute à l'appartement et...",418000.0,Paris 20  (75020),8531.0,49.0,Appartement,3,2,0,0,0,,F
paris-75,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286884483A1KIVHAP000,"Paris 8-9e ? haussmann / trinité / martyrs ? direct propriétaire ? visites aujourd'hui et demain jusqu'à 17h30 ? superbe 4-5 pièces de 98 m², traversant, lumineux, calme, exposé plein sud, situé au 3? étage dans un immeuble ancien récemment...",1150000.0,Paris 9  (75009),11735.0,98.0,Appartement,4,,0,0,0,,
paris-75,Appartement - 1 pièce(s) - 18 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286879656A1KIVHAP000,"Découvrez ce joli studio de 18 m², niché au 5ème étage sans ascenseur d'un immeuble calme et bien entretenu (copropriété de 14 lots, sans procédure en cours). idéalement situé dans le quartier sentier, il allie charme et praticité : pièce...",245000.0,Paris 2  (75002),13611.0,18.0,Appartement,1,,0,0,0,,E
paris-75,Parking / Garage - 7 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286865942A1KIVHPK000,"Située au premier sous-sol d'un immeuble sécurisé, cette place est idéale pour petite voiture, moto ou scooter. accès facile via badge emplacement pratique et sécurisé À seulement 3 minutes à pieds de la place gambetta quartier calme et bien...",9200.0,Paris 20  (75020),,7.0,Parking / Garage,,,0,0,0,,
