Ville,Titre,Lien,Description,Prix,Localisation,Détails
lyon,Appartement - 7 pièce(s) - 339 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600210A1KIVHAP000,"ExclusivitÉ  quai saint-vincent  au 4? étage avec ascenseur d'un immeuble de caractère, seul sur le palier, cet appartement familial traversant offre 339 m² (328 m² carrez) aux volumes généreux et aux prestations anciennes préservées.  un séjour...",1 580 000 €4 661 € / m2,,"Exclusivité, 7 pièces, 4
chambres, Ascenseur, DPE :E290kWh/m².an58kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 61 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600306A1KIVHAP000,"En exclusivité, dorothée da silva vous propose à la vente un appartement 3 pièces de 61m² situé au 3e étage d'une copropriété récente et bien entretenue, rue calme à proximité immédiate de toutes les commodités du plateau de la croix-rousse....",370 000 €6 066 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, DPE :C156kWh/m².an4kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 59 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600310A1KIVHAP000,"Nous vous proposons, en exclusivité, un appartement t2 de 71,29 m² au sol (58.79  m²  loi carrez) situé dans un ancien hôtel particulier édifié en 1858, remarquable témoin du patrimoine architectural lyonnais.  ce bien se compose d'un vaste...",350 000 €5 932 € / m2,,"Exclusivité, 2 pièces, 1
chambre, Garage, Ascenseur, DPE :E322kWh/m².an10kg CO2/m².an"
lyon,Appartement - 6 pièce(s) - 214 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600312A1KIVHAP000,"César & brutus vous présente cet ancien entrepôt industriel entièrement rénové avec goût.  ce loft conjugue volumes exceptionnels, lumière naturelle et esprit contemporain. au rez-de-chaussée, un vaste séjour de près de 90 m² s'organise autour...",890 000 €4 159 € / m2,,"6 pièces, 5
chambres, Garage, DPE :D215kWh/m².an22kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 66 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600314A1KIVHAP000,"Lyon 05  - saint-just  - situé au coeur du quartier historique de saint-just, venez découvrir cet appartement 3 pièces de 67 m² alliant le cachet de l'ancien (parquet, cheminées ...) et le confort du moderne.  ce bien se compose : d'une cuisine...",349 000 €5 288 € / m2,,"Exclusivité, 3 pièces, 2
chambres, DPE :E258kWh/m².an56kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 50 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600316A1KIVHAP000,"Lyon 05  - vieux lyon  - à proximité immédiate des quais et des commerces, dans une résidence calme, venez découvrir ce t1 bis d'une superficie de 49,60 m² (41 m² carrez) au dernier étage et baigné de lumière.  ce bien se compose : d'une entrée,...",223 000 €4 460 € / m2,,"Exclusivité, 2 pièces"
lyon,Appartement - 4 pièce(s) - 83 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600324A1KIVHAP000,"Tramway garibaldi-berthelot (ligne t2) - grand appartement de 82 m² au 5e étage d'un immeuble avec ascenseur.  son intérieur comporte deux chambres et une cuisine américaine équipée.  en annexe, il bénéficie d'un balcon.    quartier attractif,...",399 000 €4 807 € / m2,,"4 pièces, 2
chambres, Ascenseur, Balcon"
lyon,Appartement - 1 pièce(s) - 21 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600332A1KIVHAP000,"Lyon 08  - À proximité des transports et des commerces, dans une petite résidence livré en mai 2025, venez découvrir ce superbe studio de 21 m² (normes rt 2012), calme et lumineux.  ce bien se compose : d'une pièce de vie avec cuisine ouverte...",173 000 €8 238 € / m2,,"Studio - 1 pièce, 1
chambre, Ascenseur, Balcon"
lyon,Appartement - 2 pièce(s) - 66 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600338A1KIVHAP000,"Appartement t2 spacieux avec vue panoramique  - 65,76 m² - lyon 5 découvrez ce charmant appartement t2 de 65,76 m², niché au 9ème étage d'un immeuble de 11 étages construit en 1960.  cet appartement non meublé, mais prêt à être personnalisé, vous...",299 000 €4 530 € / m2,,"2 pièces, 1
chambre, Ascenseur, Balcon, DPE :C141kWh/m².an18kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 67 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600358A1KIVHAP000,"Je vous propose à la vente, dans une résidence arborée, calme et bien entretenue, ce 3 pièces de 66 m² lumineux et traversant disposant d'un balcon. localisé à lyon 9, quartier champvert, ce bien est idéalement placé : proche de toutes les...",169 000 €2 522 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Garage, Balcon"
lyon,Appartement - 3 pièce(s) - 123 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600384A1KIVHAP000,"Loft appartement de standing avec grande terrasse au calme. découvrez ce magnifique appartement, situé dans un cadre de vie exceptionnel.  ce bien allie élégance et fonctionnalité, parfait pour une vie familiale ou pour recevoir vos proches.  avec...",560 000 €4 553 € / m2,,"3 pièces, 2
chambres, Balcon, DPE :C99kWh/m².an18kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 72 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600386A1KIVHAP000,"Lyon 9?  limite tassin-la-demi-lune | t4 idéal investissement locatif  210 000   découvrez ce spacieux t4 de 72 m² situé à la limite de tassin-la-demi-lune, dans un secteur recherché alliant calme et proximité des commodités. l'appartement se...",210 000 €2 917 € / m2,,"Exclusivité, 4 pièces, 3
chambres, Garage, Ascenseur, DPE :D201kWh/m².an32kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 77 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600394A1KIVHAP000,"Tassin la demi-lune  - limite lyon 5ème  - très bel appartement de 77 m² refait à neuf avec 2 chambres, séjour double et vue panoramique depuis ses 2 balcons.  appartement prêt-à-habiter et proche de toutes les commodités.  faîtes un pari gagnant...",270 000 €3 506 € / m2,,"4 pièces, 2
chambres, Ascenseur, Balcon, DPE :E321kWh/m².an66kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 71 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600408A1KIVHAP000,"? lyon 3  grand t3 traversant de 71 m² avec balcon  vous rêvez d'un appartement spacieux, lumineux et parfaitement situé ? cet appartement t3 de 71 m² coche toutes les cases ! ? la disposition : situé au 2ème étage avec ascenseur, une résidence...",349 500 €4 923 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, Balcon, DPE :C105kWh/m².an19kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 65 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600420A1KIVHAP000,"Lyon 8  t3 lumineux avec fort potentiel au pied du tram t4  situé dans le 8e arrondissement de lyon (69008), à deux pas de l'arrêt ""États-unis viviani"" (tram t4), cet appartement traversant de 3 pièces, d'une surface de 65 m², se trouve au 5e...",163 000 €2 508 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, DPE :C122kWh/m².an24kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 69 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600498A1KIVHAP000,"Lyon 06  - idéalement situé à proximité des transports et des commerces, dans une jolie résidence haussmannienne sur son terrain, venez découvrir ce lumineux appartement 2 pièces bis de 70 m² en étage élevé avec une jolie terrasse commune sans...",445 000 €6 449 € / m2,,"Exclusivité, 2 pièces, 1
chambre, Ascenseur, Balcon, DPE :E321kWh/m².an10kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 64 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600502A1KIVHAP000,"Découvrez ce magnifique appartement t2/3 de 63,65 m² habitables (79 m² surface plancher), niché dans un immeuble datant de 1890, au coeur des pentes de la renommée croix rousse.  situé au premier étage sur cinq, cet appartement allie charme...",330 000 €5 156 € / m2,,"Exclusivité, 2 pièces, 1
chambre, Ascenseur, DPE :E282kWh/m².an9kg CO2/m².an"
lyon,Appartement - 1 pièce(s) - 10 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600504A1KIVHAP000,"Studio  - idéalement situé lyon 6  - tête d'or  studio, avec son entrée indépendante et sa kitchenette, très lumineux avec salle d'eau et wc. l'emplacement est idéal pour un investissement locatif patrimonial.  marie de dreuille, conseillère...",115 000 €11 500 € / m2,,"Exclusivité, Studio - 1 pièce, Ascenseur, DPE :E465kWh/m².an77kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 70 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600506A1KIVHAP000,"Appartement spacieux 70 m²  - 2 chambres - 14ème et dernier étage  - vue lyon découvrez ce magnifique appartement  traversant (nord-sud)  de 70 m², situé au 14ème et dernier étage d'un immeuble de standing.  ce bien allie élégance et...",390 000 €5 571 € / m2,,"Exclusivité, 4 pièces, 2
chambres, Ascenseur, Balcon, DPE :E316kWh/m².an34kg CO2/m².an"
lyon,Appartement - 1 pièce(s) - 18 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600510A1KIVHAP000,"En plein coeur du 7ème arrondissement, à proximité immédiate du métro 'place jean jaurès' et de l'em lyon, venez découvrir ce studio de 19 m² au rez-de-chaussée, côté jardin, de la résidence le sakura. entièrement meublé, il dispose d'une pièce de...",60 000 €3 333 € / m2,,"Studio - 1 pièce, Ascenseur"
lyon,Maison - 5 pièce(s) - 134 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286600522A1KIVHMN000,"Au coeur du joli quartier de saint-rambert l'ile barbe, venez découvrir cette charmante maison de ville construite en 1846 sur 3 niveaux, d'une superficie de 134 m² carrez.  elle se compose, au rez-de-chaussée, d'une entrée, une chambre/bureau et...",490 000 €3 657 € / m2,,"Exclusivité, 5 pièces, 4
chambres, DPE :D219kWh/m².an36kg CO2/m².an"
lyon,Maison - 9 pièce(s) - 274 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286600524A1KIVHMN000,"Rochecardon, à quelques minutes à pied du métro 'gare de vaise' et des commerces, venez découvrir cette magnifique maison contemporaine (construite en 2013) de 274 m² sur une parcelle de 760 m² avec terrasse et couloir de nage 14 x 2,80 chauffé,...",1 050 000 €3 832 € / m2,,"9 pièces, 6
chambres, Terrain 760 m2, DPE :C92kWh/m².an18kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 42 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600528A1KIVHAP000,"Appartement t2 lumineux à rénover  - 42 m²  - exposition sud-ouest découvrez cet appartement t2 de 42 m², lumineux grâce à son exposition sud-ouest, situé au 4ème étage sur 5 avec ascenseur.  vendu en plateau, cet appartement, est idéal pour ceux...",202 000 €4 810 € / m2,,"2 pièces, 1
chambre, Ascenseur, DPE :E273kWh/m².an53kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 104 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600530A1KIVHAP000,"Dans le quartier très recherché de la croix-rousse, cet appartement familial de 144,71 m² au sol (104 m² carrez), en rez-de-chaussée d'un immeuble bien entretenu offre une belle qualité de vie.  entièrement rénové en 2014, il allie charme et...",630 000 €6 058 € / m2,,"4 pièces, 3
chambres, DPE :D241kWh/m².an7kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 75 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600562A1KIVHAP000,"Appartement t4 lumineux et spacieux  - 3 chambres  - croix rousse découvrez ce magnifique appartement t4 de 75 m², situé au 2ème étage d'un immeuble de standing de 6 étages avec ascenseur.  construit en 1950 cet appartement offre un cadre de vie...",440 000 €5 867 € / m2,,"4 pièces, 3
chambres, Ascenseur, DPE :D151kWh/m².an32kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 74 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600564A1KIVHAP000,"Appartement t3 standing  - 74 m² -2 chambres -double balcon et piscine résidentielle  - lyon 6 découvrez ce magnifique appartement t3 de 74 m², situé au 5ème étage d'un immeuble de standing en excellent état.  construit en 1973, cet appartement...",495 000 €6 689 € / m2,,"3 pièces, 2
chambres, Ascenseur, Balcon, DPE :E294kWh/m².an30kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 62 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600572A1KIVHAP000,"Appartement au charme ancien 62 m²  - lyon 3 - parc sisley  situé au 2? étage d'un très bel immeuble en pierre de taille de 1820, cet appartement traversant de 62 m² bénéficie d'un emplacement privilégié, avec accès direct depuis la copropriété au...",340 000 €5 484 € / m2,,"Exclusivité, 2 pièces, 1
chambre, DPE :E262kWh/m².an57kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 62 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600576A1KIVHAP000,"Appartement de 62,26 m² au 3e étage.  il offre deux chambres et une cuisine aménagée équipée.  quartier attractif, proche de toutes commodités, des établissements scolaires, des crèches, de l'ecam lasalle et des transports.    honoraires à la...",480 000 €7 742 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur"
lyon,Appartement - 4 pièce(s) - 115 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600582A1KIVHAP000,Référence :  ov-7642-1  nouveauté en exclusivité  - lyon 1  - cours général giraud  - 115m2  - appartement avec beaucoup de charme  - 3 chambres  - 1 coin bureau  - ascenseur  privatif dans l'appartement  - traversant  - lumineux  - calme  - une...,580 000 €5 043 € / m2,,"Exclusivité, 4 pièces, 3
chambres, Ascenseur, DPE :D233kWh/m².an41kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 115 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600584A1KIVHAP000,Référence :  ov-7642-4  nouveauté en exclusivité  - lyon 1  - cours général giraud  - 115m2  - appartement avec beaucoup de charme  - 3 chambres  - 1 coin bureau  - ascenseur  privatif dans l'appartement  - traversant  - lumineux  - calme  - une...,580 000 €5 043 € / m2,,"Exclusivité, 4 pièces, 3
chambres, Ascenseur, DPE :D233kWh/m².an41kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 53 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600586A1KIVHAP000,"Rue du dr albéric pont, à deux pas du centre du point du jour et de toutes ses commodités, venez découvrir cet appartement t3 de 53,06 m² au 3ème étage d'une copropriété fermée et arborée. très lumineux grâce à ses larges ouvertures et son...",170 000 €3 208 € / m2,,"3 pièces, 2
chambres, Garage, DPE :D184kWh/m².an39kg CO2/m².an"
lyon,Appartement - 5 pièce(s) - 115 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600632A1KIVHAP000,"Lyon  - appartement t5 de 115 m² avec 3 ou 4 chambres dans une résidence de standing avec piscine, terrain de tennis.  visite immersive sur demande.  idéalement bien situé. À 50m du métro. commerces de proximité au pied de l'immeuble.  résidence...",385 000 €3 348 € / m2,,"Exclusivité, 5 pièces, 4
chambres, Garage, Ascenseur, DPE :C157kWh/m².an12kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 68 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600644A1KIVHAP000,"Charmant appartement en étage élevé  - 68m² - 2 chambres  - lyon 5  À proximité des transports et des commerces, dans une résidence calme et sécurisée, venez découvrir ce joli t3 en étage élevé, calme et lumineux.  il est exposé à l'ouest.  il se...",215 000 €3 162 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, Balcon"
lyon,Appartement - 4 pièce(s) - 96 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600646A1KIVHAP000,"Duplex spacieux et lumineux  - 96 m²  - 4 pièces -double terrasse et garage double !  a 2 mn à pieds du metro ligne d grange blanche, dans une rue calme à sens unique, découvrez ce beau duplex de 96 m² carrez situé au 3ème et 4ème étage d'un...",499 000 €5 198 € / m2,,"4 pièces, 2
chambres, Garage, Ascenseur, Balcon, DPE :E325kWh/m².an10kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 95 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600692A1KIVHAP000,"Appartement d'exception  4 piÈces avec balcon cesar et brutus a le plaisir de vous présenter ce superbe appartement traversant de 95 m², idéalement situé à quelques pas de saxe-gambetta, au sein d'un immeuble de standing avec ascenseur.  niché au...",535 000 €5 632 € / m2,,"4 pièces, 3
chambres, Ascenseur, Balcon, DPE :C118kWh/m².an21kg CO2/m².an"
lyon,Appartement - 5 pièce(s) - 170 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600694A1KIVHAP000,"Cesar et brutus vous présente en exclusivité ce magnifique appartement familial de 170 m², traversant, idéalement situé en plein coeur du très prisé quartier des brotteaux, à lyon.  un emplacement d'exception à 3 minutes à pied de la gare des...",849 000 €4 994 € / m2,,"Exclusivité, 5 pièces, 4
chambres, Ascenseur, DPE :D185kWh/m².an30kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 159 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600696A1KIVHAP000,"Appartement t4  - 159 m² à lyon 2 situé dans une belle copropriété ancienne au coeur du quartier d'ainay, à deux pas de la place bellecour, cet appartement t4 de 159 m² se distingue par la qualité de sa rénovation et l'élégance de ses volumes....",1 025 000 €6 447 € / m2,,"4 pièces, 3
chambres, Ascenseur, Balcon, DPE :C118kWh/m².an3kg CO2/m².an"
lyon,Appartement - 5 pièce(s) - 72 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600722A1KIVHAP000,"Croix rousse, dans une copropriété au calme avec espaces verts et proche des quais de saône.  venez découvrir ce t5 de 72.35m² au 7ème étage avec ascenseur d'une copropriété de 1955.  il se compose d'une entrée avec placard, une cuisine...",221 500 €3 076 € / m2,,"5 pièces, 4
chambres, Garage, Ascenseur, Balcon, DPE :E267kWh/m².an58kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 78 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286638204A1KIVHAP000,"Sublime appartement avec terrasses  dernier étage  copropriété récente (2007)    situé au 5? et dernier étage d'une petite copropriété bien entretenue de 2007, ce magnifique appartement séduit par sa luminosité et ses prestations de qualité....",465 000 €5 962 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Garage, Balcon, DPE :D141kWh/m².an30kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 48 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286657656A1KIVHAP000,"Arnaud zappoli () vous propose en exclusivité un charmant t2 en avant-dernier étage, avec balcon, cave et possibilité de garage.  situé au coeur du 8? arrondissement, au 4? étage d'une copropriété de 2003 parfaitement entretenue, cet appartement...",149 000 €3 104 € / m2,,"Exclusivité, 2 pièces, 1
chambre, Garage, Ascenseur, Balcon"
lyon,Appartement - 4 pièce(s) - 84 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286657660A1KIVHAP000,"*** plateau st rambert  - lyon 9 ***  je vous propose en exclusivité ce bel appartement t4 familial de 84 m², en étage élevé, lumineux et traversant nord-sud. il est situé sur le plateau de saint-rambert, à lyon 9e, à 5 minutes à pieds de toutes...",250 000 €2 976 € / m2,,"Exclusivité, 4 pièces, 3
chambres, Balcon, DPE :D179kWh/m².an38kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 51 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286841752A1KIVHAP000,"Appartement t3 lumineux et spacieux  - idéal pour une vie urbaine dynamique  découvrez ce charmant appartement t3 de 51,33 m² situé dans un immeuble de standing de 8 étages, construit en 1960 mais en excellent état.  avec ses 2 balcons de 8 m²,...",218 000 €4 275 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Garage, Ascenseur, DPE :E324kWh/m².an57kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 65 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286841754A1KIVHAP000,"Cesar et brutus vous présente en exclusivité cet appartement de 3 pièces de 65 m², situé dans le 3e arrondissement de lyon (69003).    situé au 2e étage d'un immeuble bien entretenu de six étages avec ascenseur, cet appartement bénéficie d'une...",235 000 €3 615 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, Balcon"
lyon,Appartement - 3 pièce(s) - 86 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286997402A1KIVHAP000,"Appartement à vendre collonges-au-mont-d'or.  exclusivitÉ  - appartement t3  - maison bourgeoise divisÉe  l'agence césar & brutus vous propose de découvrir en exclusivité ce magnifique appartement entièrement rénové, situé dans une ancienne...",540 000 €6 279 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Balcon, DPE :C122kWh/m².an3kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 46 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287006610A1KIVHAP000,"Lyon 4  secteur gros caillou / place bellevue  canut rénové avec charme et esprit contemporain  À deux pas du gros caillou, découvrez ce bel appartement de type canut, entièrement rénové en 2018, qui combine cachet lyonnais et confort moderne....",289 000 €6 283 € / m2,,"2 pièces, 1
chambre, DPE :D223kWh/m².an8kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 47 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287006612A1KIVHAP000,"T3 / 47 m2  - calme et lumineux  croix-rousse centre  découvrez ce charmant t3 de 47 m², situé impasse Édouard millaud, à deux pas du boulevard de la croix-rousse.  un emplacement privilégié, calme proche de toutes commodités : marché, écoles,...",245 000 €5 213 € / m2,,"3 pièces, 2
chambres, DPE :D234kWh/m².an7kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 88 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287058712A1KIVHAP000,"*** nouveautÉ ***  je vous propose à la vente, ce grand t4 de 88m², fonctionnel et traversant, en étage élevé avec ascenseur (3ème/4), disposant d'un balcon parfaitement au calme et sans vis-à-vis. localisé à lyon 9, dans le quartier de st...",250 000 €2 841 € / m2,,"Exclusivité, 4 pièces, 3
chambres, Balcon, DPE :C137kWh/m².an21kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 83 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287058718A1KIVHAP000,"À vendre  appartement 4 pièces  - 3 chambres  secteur cours d'herbouville  lyon 4e  idéalement situé sur le cours d'herbouville, avec vue sur le rhône, et à proximité immédiate de l'hôtel de ville et du parc de la tête d'or; découvrez cet...",369 000 €4 446 € / m2,,"Exclusivité, 4 pièces, 3
chambres, DPE :C127kWh/m².an27kg CO2/m².an"
lyon,Appartement - 1 pièce(s) - 9 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600193A1KIVHAP000,"Avi korssia et césar & brutus vous présentent en exclusivité un studio situé au coeur du 8? arrondissement de lyon, à deux pas de la gare part-dieu.  niché au 10? étage d'une copropriété de standing sécurisée avec ascenseur, ce studio offre...",54 900 €,,"Exclusivité, Studio - 1 pièce, Ascenseur, DPE :E507kWh/m².an65kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 62 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600203A1KIVHAP000,"Arnaud zappoli () et césar & brutus immobilier vous présentent en exclusivité ce joli t3 lumineux, situé au 1er étage d'une petite résidence récente (2006), bien entretenue et très au calme au sein d'une impasse piétonne, en retrait de la rue....",295 000 €4 758 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Garage, Ascenseur, Balcon, DPE :C171kWh/m².an5kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 104 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600207A1KIVHAP000,"Au 2? étage avec ascenseur d'un bel immeuble, découvrez ce magnifique appartement traversant et baigné de lumière d'une surface de 103,55 m².  vous serez séduit par sa vaste pièce de vie de 45 m², exposée plein sud, avec cuisine ouverte et de...",669 000 €6 433 € / m2,,"3 pièces, 2
chambres, Ascenseur, DPE :C119kWh/m².an14kg CO2/m².an"
lyon,Appartement - 10 pièce(s) - 169 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600209A1KIVHAP000,"Exlusivite  lyon 2e rue des marronniers  - coeur présqu'île  au 3e étage d'un immeuble sans ascenseur, découvrez cet appartement de 169 m², aujourd'hui divisé en 3 appartements distincts, tous entièrement aménagés :  t2 n°1  50 m² : belle pièce...",955 000 €5 651 € / m2,,"Exclusivité, 10 pièces, 6
chambres, DPE :D244kWh/m².an7kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 42 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600253A1KIVHAP000,"Adresse rare et recherchée : au 2? étage d'un immeuble ancien , ce superbe t2 séduit par son élégance et son authenticité.  une vaste pièce de vie baignée de lumière, sublimée par une belle hauteur sous plafond , s'ouvre sur deux grandes fenêtres...",295 000 €7 024 € / m2,,"Exclusivité, 2 pièces, 1
chambre, DPE :E256kWh/m².an52kg CO2/m².an"
lyon,Appartement - 2 pièce(s) - 41 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600275A1KIVHAP000,Idéal investisseurs ou primo accédants.    appartement situé dans une rue calme à proximité immédiate des quais du rhône et des universités lyon 2 et lyon 3.    vous pourrez rejoindre le métro d ainsi que le tram t1 à 3 minutes à pied.  cet...,240 000 €5 854 € / m2,,"2 pièces, 1
chambre, Ascenseur"
lyon,Appartement - 2 pièce(s) - 55 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600285A1KIVHAP000,"T2 de 55 m² avec balcon, jardin + box en sus je vous présente en exclusivité cet appartement t2 de 55 m², situé au 1er étage sur 5 d'un immeuble de standing construit en 2002.  cet appartement en parfait état, allie charme et modernité, il offre...",300 000 €5 455 € / m2,,"Exclusivité, 2 pièces, 1
chambre, Ascenseur, Balcon, DPE :C127kWh/m².an23kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 68 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600305A1KIVHAP000,"Appartement 4 pièces à vendre  monplaisir  À la recherche d'un lieu de vie confortable et bien situé ? cet appartement de 4 pièces, niché au coeur du quartier prisé de monplaisir, vous séduira par son agencement fonctionnel et son environnement...",299 000 €4 397 € / m2,,"4 pièces, 3
chambres, DPE :C168kWh/m².an22kg CO2/m².an"
lyon,Appartement - 3 pièce(s) - 104 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286600311A1KIVHAP000,"? en exclusivité  t3 avec balcons, cave, grenier et stationnement (en sus)! découvrez cet appartement t3 de 104 m², situé au 6? et dernier étage d'un immeuble sécurisé et bien entretenu construit en 1969.  ce bien traversant est  - ouest et en...",615 000 €5 913 € / m2,,"Exclusivité, 3 pièces, 2
chambres, Ascenseur, DPE :D177kWh/m².an38kg CO2/m².an"
lyon,Maison - 7 pièce(s) - 220 m²,https://www.paruvendu.fr/immobilier/maison-neuve/1286600315A1KIVHMN000,Exclusivite  - bien rare à la vente : maison en triplex avec jardin et garage sur le secteur premium de la place saint-louis.  venez découvrir cette maison de 220 m2 et son agréable jardin de 70 m2.  elle se compose ainsi : un grand séjour avec...,1 165 000 €5 295 € / m2,,"Exclusivité, 7 pièces, 5
chambres, Terrain 200 m2, DPE :B73kWh/m².an2kg CO2/m².an"
lyon,Appartement - 4 pièce(s) - 91 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286600351A1KIVHAP000,"Exclusivite  - appartement  - croix rousse  - 3 chambres  - dernier etage   situé dans la grande rue de la croix-rousse, venez découvrir cet appartement de 91m² situé au 3ème et dernier étage.  vous vous trouverez à proximité des commerces,...",480 000 €5 275 € / m2,,"Exclusivité, 4 pièces, 3
chambres"
