Ville,Titre,Lien,Description,Prix,Localisation,Détails
toulouse,Maison - 8 pièce(s) - 187 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1284734064A1KIVHMN000,"Au coeur du quartier la roseraie, belle maison familiale de type 8 (style art deco), de 187m² sur une parcelle arborée de 400m².    rénovée en 2016, elle se compose au rez de chaussé d'une grande entrée dégagée, d'une pièce de vie principale...",873 600 €4 672 € / m2,,"8 pièces, 6
chambres, Terrain 402 m2, DPE :C164kWh/m².an5kg CO2/m².an"
toulouse,Appartement - 3 pièce(s) - 56 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287126030A1KIVHAP000,"Appartement sur toulouse refais à neuf de 56 m2, deux chambres, cuisine entièrement équipée, salle d'eau et wc séparé, terrasse privative de 36 m2, balcon 10 m2. À 5 minutes du métro et tramway, cartier cartoucherie. wi176535384 vente immobilier...",240 000 €*4 286 € / m2,,"3 pièces, 2
chambres, Balcon, DPE :E"
toulouse,Maison - 10 pièce(s) - 433 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286009449A1KIVHMN000,"Situé en plein centre historique de toulouse ,cet hôtel particulier de 433m² sur 2 niveaux offre un potentiel rare au sein d'un quartier prisé. une adresse confidentielle, une architecture remarquable et un projet de rénovation d'envergure pour...",1 450 000 €3 349 € / m2,,"10 pièces, 4
chambres, Terrain 553 m2, DPE :E263kWh/m².an53kg CO2/m².an"
toulouse,Appartement - 4 pièce(s) - 82 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287118116A1KIVHAP000,"Spacieux appartement t3bis traversant de 82m2 au 1er étage avec ascenseur dans la résidence ""la palmeraie"" connue pour son cadre calme, verdoyant et sécurisé.
l'appartement entièrement rénové, se compose d'une cuisine américaine ouverte sur un...",308 000 €*3 756 € / m2,,"4 pièces, 3
chambres, Garage, Balcon, DPE :C"
toulouse,Maison - 5 pièce(s) - 136 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286379637A1KIVHMN000,"Coeur côte pavée, à proximité des écoles st joseph et du caousou, très belle toulousaine t5 des années 30, de 136m² habitables sur deux niveaux avec garage, sur une jolie parcelle arborée de 270m².    en excellent état, elle se compose à l'étage...",728 000 €5 353 € / m2,,"5 pièces, 4
chambres, Terrain 266 m2, DPE :C119kWh/m².an16kg CO2/m².an"
toulouse,Appartement - 4 pièce(s) - 98 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1287077609A1KIVHAP000,"Nouveau dans une petite résidence de 2 étages seulement et en fond d'impasse au calme, spacieux et confortable t4 de 98,02 m2. 
traversant avec sa triple exposition, il est composé d'une pièce de vie sans vis à vis  de 45 m2 avec sa cuisine...",235 000 €*2 398 € / m2,,"4 pièces, 3
chambres, Garage, DPE :D"
toulouse,Maison - 5 pièce(s) - 152 m²,https://www.paruvendu.fr/immobilier/vente/maison/1281377308A1KIVHMN000,Toulouse saint simon / secteur dynamique et prisé dans toulouse / nous avons le plaisir de vous proposer une superbe villa lumineuse t5 de plain-pied moderne et bien agencée / année 2016 / jardin / double garage      villa t5 de plain-pied ...,499 000 €3 283 € / m2,,"5 pièces, 4
chambres, DPE :B56kWh/m².an6kg CO2/m².an"
toulouse,Appartement - 2 pièce(s) - 65 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286919360A1KIVHAP000,"Au premier étage d'une toulousaine sécurisée : magnifique t2 traversant de 65,38 mètres carrés comprenant : grande pièce principale (30 m2) donnant sur cour arborée, chambre spacieuse (14 m2) donnant sur salle d'eau (douche italienne), belle...",320 000 €*4 923 € / m2,,"2 pièces, 1
chambre, DPE :E"
toulouse,Maison - 6 pièce(s) - 250 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1285892853A1KIVHMN000,"Nichée au cur du très recherché quartier du busca , cette superbe maison conjugue avec raffinement le charme de l'ancien et le confort contemporain. a quelques pas du jardin des plantes , du canal du midi et des meilleures écoles du centre...",1 490 000 €5 960 € / m2,,"6 pièces, 5
chambres, Terrain 256 m2, DPE :C146kWh/m².an19kg CO2/m².an"
toulouse,Plateau - 255 m²,https://www.paruvendu.fr/immobilier/vente/plateau/1287020643A1KIVHPA000,"A vendre au 2ème étage d'un bel immeuble, avec ascenseurs, dans une copropriété sécurisée, dont toutes les parties communes ont été refaites en 2023, un lot  de bureaux de 255m2 en très bon état, avec 2 salles de réunion et  11 bureaux lumineux...",180 000 €*706 € / m2,,
toulouse,Propriété/château - 15 + pièce(s) - 684 m²,https://www.paruvendu.fr/immobilier/prestige/propriete-chateau/1284924036A1KIVHPR000,"Découvrez cette propriété d'exception, un joyau rare niché au sud-est de toulouse. ce château du xviiie siècle, étalé sur plus de 680 m² habitables, s'intègre harmonieusement dans un parc luxuriant de 14 000 m². son emplacement idéal à proximité...",1 395 000 €2 039 € / m2,,"15 + pièces, 12
chambres, Terrain 13 919 m2, DPE :D187kWh/m².an5kg CO2/m².an"
toulouse,Appartement - 3 pièce(s) - 48 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286956420A1KIVHAP000,"Pas d'agence
particulier vend charmant appartement t2 bis de 48m² au 2ème(/3) étage dans une résidence calme et comprenant :
- un grand séjour avec rangements et cuisine ouverte aménagée
- une chambre séparée de 9m²
- une pièce...",149 000 €*3 104 € / m2,,"3 pièces, 1
chambre, Garage, Balcon, DPE :C"
toulouse,Maison - 5 pièce(s) - 144 m²,https://www.paruvendu.fr/immobilier/prestige/maison/1286638750A1KIVHMN000,"À vendre  maison familiale t5 de 143,5 m²  quartier minimes / toulouse?    une adresse recherchée, un cadre de vie paisible    nichée dans une rue calme et résidentielle des minimes, cette maison familiale t5 de 143,5 m² habitables (190 m² au...",645 000 €4 479 € / m2,,"5 pièces, 3
chambres, Terrain 401 m2, DPE :D230kWh/m².an38kg CO2/m².an"
toulouse,Appartement - 2 pièce(s) - 54 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286950025A1KIVHAP000,"Vends appartement t2 54 m2 à compans caffarelli. composé d'une cuisine séparée équipée, un séjour de 19 m2 donnant sur une terrasse de 12 m2 avec vue sur le jardin japonais, une chambre, et une salle de bains avec wc séparés. au calme, à 5 min du...",258 000 €*4 778 € / m2,,"2 pièces, 1
chambre, Garage, Balcon, DPE :C"
